name, fit_state, warnings, star_mask_used, noise_mask_used, chirality_maj, chirality_alenWtd, chirality_wtdPangSum, chirality_longestArc, badBulgeFitFlag, bulgeAxisRatio, bulgeMajAxsLen, bulgeMajAxsAngle, bulgeAvgBrt, bulgeDiskBrtRatio, numElpsRefits, diskAxisRatio, diskMinAxsLen, diskMajAxsLen, diskMajAxsAngleRadians, inputCenterR, inputCenterC, iptSz, muDist, muDistProp, covarFit, cropRad, wtdLik, likOfCtr, brtUnifScore, gaussLogLik, contourBrtRatio, standardizedCenterR, standardizedCenterC, hasDeletedCtrClus, failed2revDuringMergeCheck, failed2revDuringSecondaryMerging, failed2revInOutput, fitQualityF1, fitQualityPCC, cpu_time, wall_time, bar_candidate_available, bar_used, alenAt25pct, alenAt50pct, alenAt75pct, rankAt25pct, rankAt50pct, rankAt75pct, avgArcLength, minArcLength, lowerQuartileArcLength, medianArcLength, upperQuartileArcLength, maxArcLength, totalArcLength, totalNumArcs, chirality_votes_maj, chirality_votes_alenWtd, alenWtdPangSum, top2_chirality_agreement, pa_longest, pa_avg, pa_avg_abs, pa_avg_domChiralityOnly, pa_alenWtd_avg, paErr_alenWtd_stdev, pa_alenWtd_avg_abs, paErr_alenWtd_stdev_abs, pa_alenWtd_avg_domChiralityOnly, paErr_alenWtd_stdev_domChiralityOnly, pa_totBrtWtd, pa_avgBrtWtd, pa_alenWtd_median, pa_alenWtd_lowQuartile, pa_alenWtd_highQuartile, pa_alenWtd_lowDecile, pa_alenWtd_highDecile, pa_alenWtd_median_domChiralityOnly, pa_alenWtd_lowQuartile_domChiralityOnly, pa_alenWtd_highQuartile_domChiralityOnly, pa_alenWtd_lowDecile_domChiralityOnly, pa_alenWtd_highDecile_domChiralityOnly, sorted_agreeing_pangs, sorted_agreeing_arclengths, numArcs_largest_length_gap, numDcoArcs_largest_length_gap, numArcs_arclength_function_flattening, numDcoArcs_arclength_function_flattening, bar_score_img, bar_cand_score_orifld, bar_angle_input_img, bar_half_length_input_img, bar_angle_standardized_img, bar_half_length_standardized_img, numArcsGE000, numArcsGE010, numArcsGE020, numArcsGE040, numArcsGE050, numArcsGE055, numArcsGE060, numArcsGE065, numArcsGE070, numArcsGE075, numArcsGE080, numArcsGE085, numArcsGE090, numArcsGE095, numArcsGE100, numArcsGE120, numArcsGE140, numArcsGE160, numArcsGE180, numArcsGE200, numArcsGE220, numArcsGE240, numArcsGE260, numArcsGE280, numArcsGE300, numArcsGE350, numArcsGE400, numArcsGE450, numArcsGE500, numArcsGE550, numArcsGE600, numDcoArcsGE000, numDcoArcsGE010, numDcoArcsGE020, numDcoArcsGE040, numDcoArcsGE050, numDcoArcsGE055, numDcoArcsGE060, numDcoArcsGE065, numDcoArcsGE070, numDcoArcsGE075, numDcoArcsGE080, numDcoArcsGE085, numDcoArcsGE090, numDcoArcsGE095, numDcoArcsGE100, numDcoArcsGE120, numDcoArcsGE140, numDcoArcsGE160, numDcoArcsGE180, numDcoArcsGE200, numDcoArcsGE220, numDcoArcsGE240, numDcoArcsGE260, numDcoArcsGE280, numDcoArcsGE300, numDcoArcsGE350, numDcoArcsGE400, numDcoArcsGE450, numDcoArcsGE500, numDcoArcsGE550, numDcoArcsGE600, 
IC750_g, OK, lgspFitting:highErrPerLenForLongArc:3810.25|,FAIL ,none ,S-wise, S-wise, S-wise, S-wise, true, 0.666624543, 18.54317932, 1.067962382, 0.9502396514, 2.192912959, 8, 0.3532884576, 109.7561775, 310.6701483, 0.8367495004, 303.6395818, 303.1503157, [600 600], 4.10866733, 0.01369555777, [476.6156757 400.8650163;400.8650163 559.2462229], 156, 0.772150047, 0.0004656043603, 0.2588235294, -Inf, 1.043764518, 128.4841558, 128.8926109, false, false, false, false, '', '', 159.5, 36.339251, false, false, 342.5461013, 127.183969, 104.11439, 1, 2, 4, 113.559766, 17.25914061, 58.50832656, 95.00642505, 120.8216915, 342.5461013, 908.4781281, 8, [6 2], [809.8382436 98.63988453], 8853.39579, 'agree', 6.798233304, 9.886357943, 18.46259933, 18.89930485, 9.74530428, 14.48268555, 11.30496773, 13.30100902, 11.80711819, 13.40144765, 10.69258189, 17.87446095, 6.798233304, 5.645863274, 6.798233304, -1.815080019, 41.6851646, 6.798233304, 5.645863274, 6.798233304, 5.425486323, 41.6851646, [6.798233304 5.645863274 5.425486323 5.764130707 41.6851646 48.07695089], [342.5461013 127.183969 114.4594139 104.11439 85.89846008 35.6359092], 1, 1, 2, 2, 0.8561, 7.4472, 0.4422, 67.2461, 42.5000, 80.0000, 8, 8, 7, 6, 6, 6, 6, 6, 6, 6, 6, 5, 4, 4, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 6, 6, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 
IC750_i, OK, lgspFitting:highErrPerLenForLongArc:548.88|,FAIL ,none ,S-wise, S-wise, S-wise, Z-wise, true, 0.6827457329, 16.82222216, 1.143937337, 0.9385364603, 2.400429748, 7, 0.3473542626, 121.5141129, 349.8276139, 0.8676757275, 302.5722627, 302.5370684, [600 600], 2.905842476, 0.009686141585, [580.7812182 515.8762934;515.8762934 752.1106379], 175, 0.7325681394, 0.0003788481515, 0.1843137255, -45009996.18, 1.063117574, 128.4722788, 128.4589223, false, false, false, false, '', '', 148.34, 33.846823, false, false, 111.062886, 84.34027969, 64.80075367, 2, 4, 6, 71.60241423, 25.92343079, 34.73208607, 71.89068393, 106.244343, 137.1252297, 716.0241423, 10, [6 4], [367.7505245 348.2736178], 2531.131125, 'disagree', -12.77205908, 8.937599584, 18.71843417, 23.0466948, 3.534980144, 18.69882665, 15.98278047, 10.32922703, 19.00090805, 12.60705962, 17.42640962, 24.90949771, 1.873168301, -12.77205908, 22.31113307, -22.16744125, 30.59595774, 22.31113307, 8.141940743, 30.59595774, 1.873168301, 32.61192108, [22.31113307 8.141940743 1.873168301 30.59595774 32.61192108 42.74604784], [111.062886 84.34027969 64.80075367 44.74322104 34.73208607 28.07129797], 1, 1, 1, 1, 0.7908, 6.5531, 3.7142, 69.9258, 44.0000, 69.0000, 10, 10, 10, 7, 6, 6, 6, 5, 5, 5, 4, 3, 3, 3, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 6, 4, 3, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
IC750_r, OK, lgspFitting:highErrPerLenForLongArc:1835.77|,FAIL ,none ,S-wise, S-wise, S-wise, Z-wise, true, 0.6081622268, 18.29580151, 1.18687956, 0.9421751309, 2.390712664, 7, 0.3501792858, 117.8109488, 336.4303761, 0.8576176337, 302.8635332, 302.817514, [600 600], 3.31016022, 0.0110338674, [544.7879396 474.7438955;474.7438955 682.8926972], 169, 0.7443406773, 0.0004052991301, 0.2196078431, -48023500.39, 1.056012493, 128.1396682, 128.5631971, false, false, false, false, '', '', 156.7, 35.442464, false, false, 166.4606949, 103.0213097, 51.37648502, 2, 3, 6, 67.03664625, 15.14009471, 28.84973065, 44.44919248, 89.69592149, 174.1907129, 804.4397549, 12, [6 5], [332.5483137 305.4307464], 4456.904119, 'disagree', -14.38346261, 9.328112333, 17.92542272, 27.25353506, 5.540382721, 19.16419524, 14.66587931, 13.52309891, 24.4396375, 14.79757783, 27.71087641, 29.79770274, 0, -10.96379127, 22.54685778, -14.38346261, 33.36811546, 22.54685778, 22.54685778, 33.36811546, 1.483276275, 45.1708092, [22.54685778 1.483276275 45.1708092 31.6333117 29.31883992 33.36811546], [103.0213097 76.37053324 64.73847685 34.50647515 30.49790749 23.4136112], 2, 3, 3, 1, 1.0887, 7.2340, 7.6379, 34.4297, 48.5000, 26.0000, 12, 12, 11, 6, 6, 5, 5, 4, 4, 4, 3, 3, 3, 3, 3, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 6, 3, 3, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
IC750_y, OK, (no warnings),none ,none ,S-wise, S-wise, S-wise, Z-wise, true, 0.7222928356, 15.00311137, 1.114050936, 0.949361967, 2.373259762, 8, 0.3610534607, 105.7669579, 292.9398813, 0.8678992192, 301.7724186, 302.0979608, [600 600], 2.04267664, 0.006808922132, [401.117015 348.4392408;348.4392408 517.1584554], 147, 0.7518366682, 0.0005380502756, 0.1843137255, -Inf, 1.071688482, 128.6440301, 128.688715, false, false, false, false, '', '', 44.03, 12.014516, false, false, 145.1372393, 76.61422992, 57.79311107, 1, 3, 5, 78.42615434, 35.97011602, 57.43688942, 63.98039591, 103.280937, 145.1372393, 548.9830804, 7, [5 2], [367.8757251 181.1073553], 2311.614, 'disagree', -12.957226, 5.365000135, 11.00523099, 11.45916178, 4.210719934, 13.03363942, 11.95078449, 6.692134869, 12.05895344, 7.988142842, 9.371242769, 9.668054547, 2.710289325, -12.957226, 13.24509341, -12.957226, 21.39460122, 13.24509341, 2.710289325, 19.41484902, 0.5309759447, 21.39460122, [13.24509341 21.39460122 0.5309759447 19.41484902 2.710289325], [112.1698393 76.61422992 63.98039591 57.79311107 57.31814886], 2, 1, 4, 0, 0.9912, 5.6710, 97.7270, 18.4375, 138.0000, 17.0000, 7, 7, 7, 6, 6, 6, 4, 3, 3, 3, 2, 2, 2, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 5, 5, 5, 5, 3, 2, 2, 2, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
IC750_z, OK, (no warnings),none ,none ,Z-wise, Z-wise, S-wise, Z-wise, true, 0.6305155422, 17.49037778, 1.100097122, 0.9462297671, 2.310045939, 8, 0.359207339, 116.898794, 325.4354278, 0.8731501188, 302.1841544, 302.2701296, [600 600], 2.443304129, 0.008144347096, [498.133068 437.2713765;437.2713765 653.2142714], 163, 0.7536043072, 0.0004295459807, 0.1764705882, -49129759.99, 1.067393251, 128.8556738, 128.3249962, false, false, false, false, '', '', 47.38, 14.350691, false, false, 142.3714302, 115.152902, 88.04259305, 1, 3, 4, 79.59622637, 20.43765473, 36.26245379, 88.04259305, 116.1295799, 142.3714302, 557.1735846, 7, [3 4], [224.935387 332.2381976], 22.70488641, 'disagree', -12.69990495, -0.09157988629, 14.59421622, -12.85007159, 0.04075011278, 14.72379414, 13.04102023, 6.835463815, -10.90092463, 5.369397357, -9.880661578, -10.96752634, -5.081304324, 6.841531711, -12.69990495, 22.33434423, -12.69990495, -12.69990495, -5.081304324, -12.69990495, -5.081304324, -23.07567529, [-12.69990495 -5.081304324 -10.54340182 -23.07567529], [142.3714302 115.152902 39.54589055 35.16797486], 4, 2, 1, 0, 0.2308, 6.2043, 128.5278, 98.3555, 168.5000, 77.0000, 7, 7, 7, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
IC764_z, Subscript indices must either be real positive integers or logicals.
NGC1309_g, OK, lgspFitting:highErrPerLenForLongArc:568.99|,FAIL ,none ,S-wise, S-wise, S-wise, S-wise, false, 0.9890547414, 13.40215191, 1.332217268, 0.9324023134, 2.620174025, 7, 0.9355050008, 155.4852661, 166.2046338, -1.269878973, 202.5842818, 202.2482547, [400 400], 2.720409009, 0.01360204505, [228.3394103 -9.105561794;-9.105561794 254.8540172], 84, 0.6924562759, 0.0006549416503, 0.2470588235, -10043407.32, 1.122292706, 129.1133685, 128.5260445, false, false, false, false, '', '', 64.47, 18.027532, false, false, 160.3473644, 107.7166239, 41.16184269, 2, 5, 8, 67.87454268, 16.49640899, 28.56226668, 37.13132278, 107.7166239, 199.6198436, 1221.741768, 18, [10 8], [769.2123855 452.5293828], 8137.773584, 'disagree', 20.84051781, 4.829594688, 20.00300863, 22.34934298, 6.660796737, 20.22376651, 16.93614248, 12.90480619, 18.73953591, 13.70965142, 16.47145267, 21.17903779, 2.20589649, -3.681658761, 20.84051781, -19.96080511, 25.49148422, 20.84051781, 2.20589649, 25.49148422, 1.482221856, 31.05122417, [20.84051781 25.49148422 1.482221856 17.18801052 2.20589649 45.28735399 31.05122417 57.36824782 15.85972834 6.718744624], [199.6198436 124.3093059 110.0213468 107.7166239 93.11659348 41.16184269 30.76264371 29.05241536 16.95536111 16.49640899], 7, 1, 3, 2, 0.9932, 4.8633, 7.7413, 50.1719, 170.5000, 76.0000, 18, 18, 16, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 5, 3, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 8, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
NGC1309_i, OK, lgspFitting:highErrPerLenForLongArc:1498.95|,FAIL ,none ,S-wise, S-wise, S-wise, S-wise, false, 0.9673816503, 13.53951883, 1.194347331, 0.935070028, 2.570018071, 7, 0.9291262663, 183.7602111, 197.7774365, -1.178482119, 202.6730387, 202.2556119, [400 400], 2.793612432, 0.01396806216, [331.4064423 -18.12333796;-18.12333796 367.7089629], 99, 0.6913290452, 0.0004538542883, 0.2196078431, -7368331.274, 1.114142472, 128.8434428, 128.4883141, false, false, false, false, '', '', 47.99, 13.130827, false, false, 190.5193541, 184.8495671, 58.52400663, 1, 2, 4, 61.57920411, 16.26677767, 16.68191585, 29.65331104, 71.7889871, 190.5193541, 677.3712453, 11, [8 3], [614.9378196 62.43342567], 10285.75053, 'agree', 21.05113861, 8.081290871, 22.08404186, 20.73866625, 15.18480538, 18.78493613, 21.25564878, 11.47386312, 20.07009085, 7.881050362, 21.68917791, 21.30016168, 21.05113861, 9.274001909, 27.22287153, 7.213743416, 27.22287153, 21.05113861, 11.65387902, 27.22287153, 7.213743416, 27.22287153, [21.05113861 27.22287153 7.213743416 9.274001909 11.65387902 32.51700171 27.73247285 29.24422095], [190.5193541 184.8495671 76.21064726 58.52400663 51.13456366 20.23319194 17.18765251 16.27883648], 2, 2, 3, 3, 0.7678, 4.1242, 4.4779, 68.4062, 162.0000, 113.0000, 11, 11, 7, 5, 5, 4, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 6, 5, 5, 4, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
NGC1309_r, OK, lgspFitting:highErrPerLenForLongArc:815.25|,FAIL ,none ,S-wise, S-wise, S-wise, S-wise, false, 0.9596105195, 13.30012029, 0.3092255833, 0.9374023294, 2.564968341, 7, 0.8624779605, 165.1821634, 191.5204457, -1.059387934, 202.6939537, 202.2498849, [400 400], 2.806337415, 0.01403168707, [280.0815451 -38.02322548;-38.02322548 326.4948769], 96, 0.6901553909, 0.0005271315314, 0.2392156863, -8397547.519, 1.122156698, 128.7609341, 128.3910913, false, false, false, false, '', '', 51.55, 13.951524, false, false, 142.3281397, 99.32364058, 51.21547125, 2, 4, 8, 66.21734877, 19.28520849, 28.1624683, 49.67293728, 97.53655833, 189.0009459, 1059.47758, 16, [12 4], [857.5672886 201.9102918], 7025.197638, 'agree', 21.91840674, 5.026626271, 19.34026053, 16.2445912, 6.63081293, 20.5862408, 17.05015545, 13.30613353, 14.62827198, 10.30617622, 15.43120545, 17.41524899, 7.365017977, 1.848767772, 21.91840674, -15.8247951, 26.08567516, 19.97262298, 2.028622176, 21.91840674, 1.848767772, 26.08567516, [21.91840674 1.848767772 2.028622176 26.08567516 25.34037061 5.581129685 19.97262298 17.79171713 7.933279017 7.365017977 31.45846747 27.6110177], [189.0009459 142.3281397 118.9856138 95.74947608 66.63458852 54.15560644 51.21547125 39.74316434 29.48044306 28.69063656 22.29799454 19.28520849], 1, 1, 3, 2, 0.8600, 4.5092, 216.3015, 88.2070, 7.0000, 142.0000, 16, 16, 15, 9, 8, 6, 6, 6, 5, 5, 5, 5, 5, 5, 3, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 12, 11, 7, 7, 5, 5, 5, 4, 4, 4, 4, 4, 4, 3, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
NGC1309_y, OK, (no warnings),FAIL ,none ,S-wise, S-wise, S-wise, S-wise, false, 0.9654075176, 12.92649487, 1.026198343, 0.9345993516, 2.503013145, 7, 0.8651305125, 153.86631, 177.8532924, -1.213785389, 202.7068274, 202.2629448, [400 400], 2.824546201, 0.01412273101, [230.9739052 -24.41645318;-24.41645318 287.3274023], 89, 0.7004769267, 0.0006157754613, 0.2352941176, -9589755.244, 1.11582343, 128.8363039, 129.1861904, false, false, false, false, '', '', 48.4, 17.77255, false, false, 116.1813834, 92.72714115, 78.31855034, 2, 3, 4, 72.44100156, 26.24353851, 34.04895613, 78.31855034, 110.3178228, 122.2934388, 507.0870109, 7, [5 2], [448.4070394 58.67997145], 3830.739547, 'agree', 2.445928369, 3.384221423, 13.18266939, 11.59682357, 7.554402823, 15.3609756, 11.84066772, 12.36232831, 10.96658558, 12.01375662, 10.07985398, 10.47254435, 2.445928369, 0.5807460753, 19.01432357, -4.140038928, 30.90648157, 2.445928369, 0.5807460753, 19.01432357, 0.5807460753, 30.90648157, [2.445928369 0.5807460753 30.90648157 19.01432357 5.036638266], [122.2934388 116.1813834 92.72714115 78.31855034 38.88652571], 4, 4, 2, 2, 0.7545, 3.4528, 6.9552, 68.5234, 166.5000, 123.0000, 7, 7, 7, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 5, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
